event,block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
cache_hit,SSM-B001,SSM-B001-G03,18,229753,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104184.png,raw_tiles/ort_riku10/z18/x229753_y104184.png,"135.517730713,34.604954262,135.519104004,34.606084592",cached,22a2451f0ecd4c613fd0cd7c5e12d8ad949810b870b2160574ee5acc6924bb63,200_cached,2026-06-25T14:26:03Z,,S007,SSM-T01C
downloaded,SSM-B001,SSM-B001-G03,18,229754,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104184.png,raw_tiles/ort_riku10/z18/x229754_y104184.png,"135.519104004,34.604954262,135.520477295,34.606084592",downloaded,418991cd59607d309de22cf3f5bc7a66c2597db1d40b7d096544ff7d357e3829,200,2026-06-25T14:26:04Z,,S007,SSM-T01C
downloaded,SSM-B001,SSM-B001-G03,18,229755,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104184.png,raw_tiles/ort_riku10/z18/x229755_y104184.png,"135.520477295,34.604954262,135.521850586,34.606084592",downloaded,40ee97a4ffe0589b16b2f899de54b14edf67c3adddff41cb306468e0d738d545,200,2026-06-25T14:26:05Z,,S007,SSM-T01C
cache_hit,SSM-B001,SSM-B001-G03,18,229753,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104185.png,raw_tiles/ort_riku10/z18/x229753_y104185.png,"135.517730713,34.603823915,135.519104004,34.604954262",cached,202ebb407676ffcd2218b86b36e7b634ff394e2a550e0775329b999081cc6a0c,200_cached,2026-06-25T14:26:05Z,,S007,SSM-T01C
downloaded,SSM-B001,SSM-B001-G03,18,229754,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104185.png,raw_tiles/ort_riku10/z18/x229754_y104185.png,"135.519104004,34.603823915,135.520477295,34.604954262",downloaded,127af91ad3deb349541dc552d78ddf1717da78fceaccc01b0a2c3c27ee201138,200,2026-06-25T14:26:06Z,,S007,SSM-T01C
downloaded,SSM-B001,SSM-B001-G03,18,229755,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104185.png,raw_tiles/ort_riku10/z18/x229755_y104185.png,"135.520477295,34.603823915,135.521850586,34.604954262",downloaded,c39d0b43530d7ea225cbe85127ccae7ce9dab09a69aa111daf041a6ddf31e915,200,2026-06-25T14:26:07Z,,S007,SSM-T01C
cache_hit,SSM-B001,SSM-B001-G03,18,229753,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104186.png,raw_tiles/ort_riku10/z18/x229753_y104186.png,"135.517730713,34.602693554,135.519104004,34.603823915",cached,aef05ddd58c56b3fa2f206b5983853f5a9a082fa8940990ba3aec1c915b5bbd4,200_cached,2026-06-25T14:26:07Z,,S007,SSM-T01C
downloaded,SSM-B001,SSM-B001-G03,18,229754,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104186.png,raw_tiles/ort_riku10/z18/x229754_y104186.png,"135.519104004,34.602693554,135.520477295,34.603823915",downloaded,c9b70ad49f50d384f81e355590bed8caa983048b9f9e61e2bb559acea570b116,200,2026-06-25T14:26:08Z,,S007,SSM-T01C
downloaded,SSM-B001,SSM-B001-G03,18,229755,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104186.png,raw_tiles/ort_riku10/z18/x229755_y104186.png,"135.520477295,34.602693554,135.521850586,34.603823915",downloaded,0c1e0695df54588776ce292b984ed8d4acbe56beda50148eef62e9c2fed93d1b,200,2026-06-25T14:26:09Z,,S007,SSM-T01C
cache_hit,SSM-B001,SSM-B001-G06,18,229753,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104186.png,raw_tiles/ort_riku10/z18/x229753_y104186.png,"135.517730713,34.602693554,135.519104004,34.603823915",cached,aef05ddd58c56b3fa2f206b5983853f5a9a082fa8940990ba3aec1c915b5bbd4,200_cached,2026-06-25T14:26:09Z,,S007,SSM-T01C
