event,block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
cache_hit,SSM-B001,SSM-B001-G02,18,229751,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104184.png,raw_tiles/ort_riku10/z18/x229751_y104184.png,"135.514984131,34.604954262,135.516357422,34.606084592",cached,9a6030685986d3e33e96d832499fb0f3d3fd813d3fd42ee81e4f03d931377a22,200_cached,2026-06-25T14:17:27Z,,S007,SSM-T01B
downloaded,SSM-B001,SSM-B001-G02,18,229752,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104184.png,raw_tiles/ort_riku10/z18/x229752_y104184.png,"135.516357422,34.604954262,135.517730713,34.606084592",downloaded,fbf92d2fcf2a59e3cf04be04bda10fc56a01d0fa82636c7b0fc5f666e7be0ad8,200,2026-06-25T14:17:28Z,,S007,SSM-T01B
downloaded,SSM-B001,SSM-B001-G02,18,229753,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104184.png,raw_tiles/ort_riku10/z18/x229753_y104184.png,"135.517730713,34.604954262,135.519104004,34.606084592",downloaded,22a2451f0ecd4c613fd0cd7c5e12d8ad949810b870b2160574ee5acc6924bb63,200,2026-06-25T14:17:29Z,,S007,SSM-T01B
cache_hit,SSM-B001,SSM-B001-G02,18,229751,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104185.png,raw_tiles/ort_riku10/z18/x229751_y104185.png,"135.514984131,34.603823915,135.516357422,34.604954262",cached,965a8df8ca8a78a438dab7b8c5f34a7e3fd355891ad3d563b10dc1d6448561ef,200_cached,2026-06-25T14:17:29Z,,S007,SSM-T01B
downloaded,SSM-B001,SSM-B001-G02,18,229752,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104185.png,raw_tiles/ort_riku10/z18/x229752_y104185.png,"135.516357422,34.603823915,135.517730713,34.604954262",downloaded,da054de82de978096d4eac511ff3671af3e8a2c18b41bd63fa86c1f92767cbf1,200,2026-06-25T14:17:30Z,,S007,SSM-T01B
downloaded,SSM-B001,SSM-B001-G02,18,229753,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104185.png,raw_tiles/ort_riku10/z18/x229753_y104185.png,"135.517730713,34.603823915,135.519104004,34.604954262",downloaded,202ebb407676ffcd2218b86b36e7b634ff394e2a550e0775329b999081cc6a0c,200,2026-06-25T14:17:31Z,,S007,SSM-T01B
cache_hit,SSM-B001,SSM-B001-G02,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",cached,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200_cached,2026-06-25T14:17:31Z,,S007,SSM-T01B
downloaded,SSM-B001,SSM-B001-G02,18,229752,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104186.png,raw_tiles/ort_riku10/z18/x229752_y104186.png,"135.516357422,34.602693554,135.517730713,34.603823915",downloaded,e7695677de440fdbd7b2a32b319c77f2c4fa4e17a7ceee43738c72ac096188a4,200,2026-06-25T14:17:32Z,,S007,SSM-T01B
downloaded,SSM-B001,SSM-B001-G02,18,229753,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104186.png,raw_tiles/ort_riku10/z18/x229753_y104186.png,"135.517730713,34.602693554,135.519104004,34.603823915",downloaded,aef05ddd58c56b3fa2f206b5983853f5a9a082fa8940990ba3aec1c915b5bbd4,200,2026-06-25T14:17:33Z,,S007,SSM-T01B
cache_hit,SSM-B001,SSM-B001-G05,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",cached,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200_cached,2026-06-25T14:17:33Z,,S007,SSM-T01B
